SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
IIHFL,UNSEC RE NCD 0% SR.III,1103.5,1102.37,1102.37,1102.27,1102.32,2204.64,2, ,2,1299.9,1046.1
NHAI,8.75% TAX FREE TR I S IIB,1220.96,1224.82,1224.82,1215.1,1219.8,3050784.4,2501, ,38,1269,1150
NHBTF2014,BOND 9.01%PA TF TR-I S 3B,6878.77,6890,6890,6875,6888,419431.24,61, ,10,7102.4,5775
NTPC,8.91%S-R-NCD SERIES 3B,1352.57,1258,1275,1258,1275,235025,185,XI,3,1425,1258
PCHFL,SEC RE NCD 8.50% SR.III,1019,1020,1020,1019,1019.21,366915,360, ,11,1079,985.05
TATACAPHSG,SEC RED NCD 8.30% SR.III,1071,1070.99,1073,1070.99,1073,570002,532, ,13,1160,1001.12
IREDA,7.74% TAX FREE NCD,1193.49,1197,1197,1197,1197,5985,5, ,1,1240,1126.15
NAVIFIN,SEC RE NCD 10.50% SR.IV,1005.3,1005,1020,1005,1005,211275,210,XI,5,1020,989
NHAI,TAX FREE7.14% SR.IA,1075,1075,1075,1075,1075,324650,302, ,3,1348.5,1053.1
NIDO,SEC RED NCD SR. VII,1960,1930,2290,1930,2290,157710,75, ,2,2320,1450
NTPC,8.49% SEC NON-CUM RED NCD,10.61,10.61,10.63,10.6,10.6,265460.56,25011, ,114,13.66,10
UGROCAP,SEC RED NCD 10.50% SR.III,1007,1008,1019.99,1008,1019.99,313499.15,310, ,6,1032,850
CREDITACC,SEC RE NCD SR II,985,991.39,991.39,991.39,991.39,9913.9,10, ,1,991.39,821
DHANILOANS,DHANI LOANS & SERV LTD,1598.9,1590.9,1590.9,1590.9,1590.9,14318.1,9, ,1,1598.9,1325
HUDCO,7.64% TAX FREETRI SR2B,1183,1184.1,1191,1184.1,1191,25004.1,21, ,2,1223.99,1130
NAVIFIN,SEC RE NCD 11.02% SR.V,1012.05,1012.8,1012.8,1012.8,1012.8,10128,10, ,1,1033.32,995
NHAI,TAX FREE7.39% SR.IB,1084.53,1088,1088,1083.21,1083.21,37936.31,35, ,4,1149.85,1033.01
PFC,8.92% TAX FREE NCD,1270.53,1270.01,1275,1270,1270,52120.05,41, ,4,1374.8,1257.5
TATACAPHSG,SEC RED NCD 8.10% SR.IV,1013.16,1011,1011,1011,1011,6066,6, ,1,1079.95,1000.05
HUDCO,7.69% TAX FREETRII SR2B,1133.19,1134.5,1134.5,1134.24,1134.24,453748,400, ,19,1209.9,1133.19
IRFC,BOND 8.48% PA TF TI-SIB,1055.51,1055.61,1055.61,1055.61,1055.61,5278.05,5, ,1,1169.99,1012.81
RECLTD,BOND 8.71% TAX FREE S2B,1141.07,1148,1148,1137.01,1141.82,1648789.71,1444, ,22,1227.5,1133.99
CHOLAFIN,SEC RE NCD 8.40% SR 5,1016.25,1031,1031,1031,1031,2222836,2156, ,1,1053.45,994.36
